epoch,mse_pcd
1,146.06712299308555
2,69.11572464044757
3,54.691090262143256
4,49.188692343715196
5,47.1100150430543
6,42.646274606388566
7,40.45569572182576
8,39.58686431866163
9,38.10964690791235
10,36.84777207980407
11,36.62319984999009
12,36.4159083601369
13,35.621463446415945
14,35.215463919028544
15,34.481528007547524
16,34.143738513001914
17,33.731017687457566
18,32.974440589831964
19,32.48099708568482
20,32.29083708633136
21,32.40814357859588
22,32.06586923950171
23,31.562437662510526
24,31.534203180748953
25,31.40064450240514
26,31.469809450084345
27,30.896287755947046
28,30.882069984140816
29,30.794658852710914
30,30.163538122306466
31,29.918847792108487
32,30.11620620771601
33,29.414093475288613
34,29.765695154795935
35,29.486814948736534
36,29.178465017708223
37,29.433039183727594
38,29.246820329119696
39,28.92932806741775
40,29.320397957119393
41,28.823999355326144
42,28.96200254084903
43,28.919599722865193
44,28.62791743124797
45,28.534879507047812
46,28.70133438212885
47,28.938673501297167
48,28.57745953431176
49,28.301038969680242
50,28.180772525955348
