C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53
62.92,53.815,24.55,60.741,22.234,40.215,39.663,49.113,47.46,40.481,18.934,50,0.25147,3671.6,4523.1,9.4618,26.5,41.882,2705.4,74.73,120.4,0.33588,80.175,50.531,2633.9,25.082,51.115,3101.2,22.601,65.76,230.14,341.52,94.598,77.309,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828
63.24,54.252,24.792,59.78,22.189,40.207,39.064,46.322,47.421,41.409,19.877,50,0.24901,3653.3,4486.6,9.3912,26.955,41.995,2705.2,75.237,120.38,0.33595,80.139,50.328,2634.2,26.452,49.909,3102.3,22.201,65.724,230.58,341.47,94.554,77.389,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828
63.61,53.772,24.62,60.108,22.001,40.346,38.205,49.821,47.371,40.921,17.361,50,0.25084,3631.5,4526.6,9.3101,26.496,42.267,2704.5,74.697,120.39,0.3348,80.081,50.036,2632.7,23.796,51.42,3101.4,23.269,65.735,231.12,341.24,94.62,77.206,32.159,8.8967,26.721,6.7772,18.83,1.6772,33.089,13.698,24.442,1.2743,18.54,2.2211,4.7767,2.4316,0.017866,0.8357,0.098577,53.724,43.828
63.50,53.881,24.78,62.752,22.101,39.936,43.227,47.4,47.466,41.534,17.809,50,0.24922,3638.2,4517.5,9.3723,26.818,42.661,2702.3,74.875,120.41,0.33816,79.911,51.742,2630.7,26.252,50.374,3100.5,23.091,65.723,230.07,340.95,94.615,77.029,32.159,8.8967,26.721,6.7772,18.83,1.6772,33.089,13.698,24.442,1.2743,18.54,2.2211,4.7767,2.4316,0.017866,0.8357,0.098577,53.724,43.828
63.44,54.328,24.97,58.28,22.294,38.133,36.967,45.92,47.479,40.748,19.651,50,0.25309,3698,4468.7,9.5389,26.501,42.161,2704.7,75.419,120.39,0.32481,80.117,49.615,2633.9,26.014,49.735,3102.8,22.315,65.696,229.96,341.51,94.516,76.968,32.272,8.8253,26.102,6.9838,18.557,1.647,32.984,13.876,24.189,1.2346,18.82,2.2859,4.8002,2.3512,0.017866,0.8357,0.098577,53.724,43.828
63.38,53.878,24.933,61.113,21.974,38.619,38.901,47.832,47.448,40.962,19.102,50,0.25346,3701.1,4506.3,9.3432,27.117,42.453,2704.9,75.545,120.42,0.32083,80.055,50.272,2634,25.764,50.561,3102.8,22.531,65.707,230.3,341.18,94.548,77.477,32.272,8.8253,26.102,6.9838,18.557,1.647,32.984,13.876,24.189,1.2346,18.82,2.2859,4.8002,2.3512,0.0065433,0.82241,0.10181,53.281,43.464
62.46,54.336,23.749,59.756,22.036,40.935,39.451,47.054,47.481,41.047,17.135,50,0.2432,3649.3,4525.3,9.4133,26.635,42.441,2703.8,73.318,120.41,0.34048,80.135,50.459,2632.8,25.203,50.225,3101.6,23.362,65.724,229.95,341.35,94.569,77.342,32.623,9.0641,26.402,6.9635,18.526,1.6308,32.632,13.812,23.826,1.2491,18.163,2.2721,4.8852,2.2702,0.0065433,0.82241,0.10181,53.281,43.464
62.19,54.243,23.752,60.048,22.216,40.613,37.995,48.332,47.346,41.409,16.929,50,0.24317,3665.5,4533,9.3,26.976,42.071,2705,74.792,120.4,0.34311,80.149,49.964,2634.1,26.06,50.777,3101.7,23.453,65.754,231.45,341.33,94.614,77.182,32.623,9.0641,26.402,6.9635,18.526,1.6308,32.632,13.812,23.826,1.2491,18.163,2.2721,4.8852,2.2702,0.0065433,0.82241,0.10181,53.281,43.464
62.73,53.912,20.341,60.957,22.067,39.928,42.971,46.869,47.488,40.589,17.117,50,0.20453,3639.3,4570.4,9.2843,27,42.325,2704.6,75.18,120.38,0.33499,80.127,51.655,2633.3,23.956,50.145,3101.7,23.373,65.75,229.85,341.43,94.655,77.237,32.494,8.8458,26.37,6.9191,18.506,1.6501,32.812,13.684,23.857,1.3654,18.717,2.3004,4.8546,2.2831,0.0065433,0.82241,0.10181,53.281,43.464
62.39,53.937,20.42,60.777,22.358,39.845,38.979,46.968,47.519,41.179,17.69,50,0.20373,3658.7,4568.3,9.2901,27.106,41.919,2705.3,75.108,120.39,0.33567,80.226,50.299,2634.2,25.704,50.187,3101.7,23.123,65.739,229.49,341.14,94.801,77.34,32.494,8.8458,26.37,6.9191,18.506,1.6501,32.812,13.684,23.857,1.3654,18.717,2.3004,4.8546,2.2831,0.0065433,0.82241,0.10181,53.281,43.464
